str_geom,Latitude,Longitude,dateval,loc_id,loc_name,ENG_ELEC_KWH_COST,NONENG_HEAT_KWH_COST,NONENG_ELEC_KWH_COST,heat_kwh_min,heat_kwh_max,elec_kwh_max,battery_max_kwh,EV_flag,water_heater_max_kwh,heat_needed_cumulative,elec_needed_cumulative,heat_produced_cumulative,produced_free_heat_cumulative,produced_notfree_heat_cumulative,elec_produced_cumulative,unmet_heat_needed_cumulative,unmet_elec_needed_cumulative,ending_stored_heat_cumulative,ending_stored_elec_cumulative,wasted_heat_cumulative,excess_heat_cumulative,excess_elec_cumulative,ENG_cost_cumulative,savings_cumulative,future_heat_savings_cumulative,future_elec_savings_cumulative,recycled_heat_savings_cumulative,recycled_elec_savings_cumulative,ON_HRS_cumulative,inc_needed_heat_kwh_cumulative,inc_needed_elec_kwh_cumulative,recycled_heat_kwh_cumulative,recycled_heat_kwh_cumulative,recycled_elec_kwh_cumulative,recycled_elec_kwh_cumulative,recycled_heat_kwh_cumulative,recycled_heat_kwh_cumulative,recycled_elec_kwh_cumulative,recycled_elec_kwh_cumulative,market_cost_cumulative,Cycle_ON_cumulative,Cycle_OFF_cumulative,loc_id2,Site Name,State_y,TZ,Elev,Class,Pool,ON_PCT,TOTAL_SAVINGS
"POLYGON ((-85.8193407391342333 32.2953938807139380, -85.1663704447655476 31.9271251570578301, -85.5016193117225640 31.7013137666664733, -86.9691253791660728 31.1626417060747087, -87.3202437413027184 31.5925662373168343, -85.8193407391342333 32.2953938807139380))",31.867,-86.017,12/31,722267,AL_Troy.Air.Field,0.1028571428571428,0.051428999999999975,0.09800000000000002,10,16,6,6,0,10,0.0,27429.868100379448,10.0,9.428571428571429,0.5714285714285712,6.0,0.0,27423.868100379448,87600.0,6.702851009729999,0.0,10.0,4.2993184741,5874.872090582223,-0.4878786650072545,0.51429,0.4213332104618,0.0,0.42133321046179995,1,0.0,27425.56878190535,0.0,0.0,4.2993184741,4.2993184741,0.0,0.0,4.2993184741,4.2993184741,2688.127073837184,1,0,722267,TROY AF,AL,-6,120,II,12,0.00011415525114155251,-0.06654545454545457
"POLYGON ((-85.8193407391342333 32.2953938807139380, -85.1663704447655476 31.9271251570578301, -85.5016193117225640 31.7013137666664733, -86.9691253791660728 31.1626417060747087, -87.3202437413027184 31.5925662373168343, -85.8193407391342333 32.2953938807139380))",31.867,-86.017,12/31,722267,AL_Troy.Air.Field,0.1028571428571428,0.051428999999999975,0.09800000000000002,10,16,6,6,1,10,0.0,31809.868100379448,10.0,9.428571428571429,0.5714285714285712,6.0,0.0,31803.868100379448,87600.0,6.702851009729999,0.0,10.0,4.2993184741,5949.744908565815,-0.4878786650072545,0.51429,0.4213332104618,0.0,0.42133321046179995,1,0.0,31805.56878190535,0.0,0.0,4.2993184741,4.2993184741,0.0,0.0,4.2993184741,4.2993184741,3117.3670738371834,1,0,722267,TROY AF,AL,-6,120,II,12,0.00011415525114155251,-0.06654545454545457
"POLYGON ((-85.1663704447655476 31.9271251570578301, -85.8193407391342333 32.2953938807139380, -86.0594732598140268 32.9730633668184296, -85.2521180869869539 33.2197123442430780, -85.2338462924884936 33.1292372853867008, -85.2335028835110933 33.1201394081771880, -85.1807197477315867 32.8718130152582901, -85.1623013395511066 32.8074457710046730, -85.1280897964965817 32.7770703688743836, -85.1333007130192811 32.7563151840831708, -85.1248851468131988 32.7443832114842905, -85.1138678263344985 32.7343891243926706, -85.1077332955927801 32.6899723927856840, -85.0904749352673804 32.6761523183616802, -85.1038037001814871 32.6459103634367835, -85.0863240329996842 32.6284512624586611, -85.0841494030322991 32.6030043412279724, -85.0707744289150014 32.5812538454270566, -84.9956521998385028 32.5189284573877799, -84.9898150242830894 32.4548361889754631, -84.9653850681506952 32.4294501892951743, -84.9709618766037948 32.3968128155869621, -84.9844889473807825 32.3870933417082512, -84.9716635105138920 32.3715031750607665, -85.0020899914270842 32.3470785029401640, -85.0053324580593852 32.3295925156655741, -84.9210709085417790 32.2931369770348553, -84.8946034995382064 32.2687354095159549, -84.8940158863189822 32.2591761137271575, -84.9053609709549875 32.2495557927800505, -84.9236796045556019 32.2473889852225568, -84.9160041108569033 32.2285563519428635, -84.9283716518193046 32.2179784333267634, -84.9757438038757869 32.2122486993491535, -84.9603852530887025 32.1919284612729584, -85.0078260973015034 32.1788785575031611, -85.0243823574805049 32.1662751009451569, -85.0533136702076007 32.1266376546043446, -85.0461872475227949 32.0908949913602584, -85.0566549271429864 32.0696439383035425, -85.0620107395640161 32.0500103109660586, -85.0567002556774980 32.0173765117365505, -85.0700670965606065 31.9807030853161542, -85.1030334998861520 31.9271251570578301, -85.1663704447655476 31.9271251570578301))",32.616,-85.433,12/31,722284,AL_Auburn-Opelika.AP,0.1028571428571428,0.051428999999999975,0.09800000000000002,10,16,6,6,0,10,17271.325897585,18738.00010090151,17230.05587506196,11800.668613534463,5429.387261527516,7509.5163904310075,3274.483770567777,11232.683821581597,69096.20037050323,13962.720208073864,3223.213748044762,12275.67303201313,6080.760974006876,6091.51732368814,-707.3802326225557,383.1731571668289,470.3819843362788,465.0446385152073,595.5029645637868,1381,8228.866613616623,12661.439238005736,9042.459283968374,9042.459283968374,6076.560862895785,6076.560862895785,9042.459283968374,9042.459283968374,6076.560862895785,6076.560862895785,2724.571029475245,1339,1339,722284,AUBURN-OPELIKA APT,AL,-6,236,III,12,0.157648401826484,353.1673704564384
"POLYGON ((-85.1663704447655476 31.9271251570578301, -85.8193407391342333 32.2953938807139380, -86.0594732598140268 32.9730633668184296, -85.2521180869869539 33.2197123442430780, -85.2338462924884936 33.1292372853867008, -85.2335028835110933 33.1201394081771880, -85.1807197477315867 32.8718130152582901, -85.1623013395511066 32.8074457710046730, -85.1280897964965817 32.7770703688743836, -85.1333007130192811 32.7563151840831708, -85.1248851468131988 32.7443832114842905, -85.1138678263344985 32.7343891243926706, -85.1077332955927801 32.6899723927856840, -85.0904749352673804 32.6761523183616802, -85.1038037001814871 32.6459103634367835, -85.0863240329996842 32.6284512624586611, -85.0841494030322991 32.6030043412279724, -85.0707744289150014 32.5812538454270566, -84.9956521998385028 32.5189284573877799, -84.9898150242830894 32.4548361889754631, -84.9653850681506952 32.4294501892951743, -84.9709618766037948 32.3968128155869621, -84.9844889473807825 32.3870933417082512, -84.9716635105138920 32.3715031750607665, -85.0020899914270842 32.3470785029401640, -85.0053324580593852 32.3295925156655741, -84.9210709085417790 32.2931369770348553, -84.8946034995382064 32.2687354095159549, -84.8940158863189822 32.2591761137271575, -84.9053609709549875 32.2495557927800505, -84.9236796045556019 32.2473889852225568, -84.9160041108569033 32.2285563519428635, -84.9283716518193046 32.2179784333267634, -84.9757438038757869 32.2122486993491535, -84.9603852530887025 32.1919284612729584, -85.0078260973015034 32.1788785575031611, -85.0243823574805049 32.1662751009451569, -85.0533136702076007 32.1266376546043446, -85.0461872475227949 32.0908949913602584, -85.0566549271429864 32.0696439383035425, -85.0620107395640161 32.0500103109660586, -85.0567002556774980 32.0173765117365505, -85.0700670965606065 31.9807030853161542, -85.1030334998861520 31.9271251570578301, -85.1663704447655476 31.9271251570578301))",32.616,-85.433,12/31,722284,AL_Auburn-Opelika.AP,0.1028571428571428,0.051428999999999975,0.09800000000000002,10,16,6,6,1,10,17271.325897585,23118.000100901496,17625.504968148318,12235.657266013015,5389.847702135307,7786.327351099189,3055.087577292298,15335.872860913412,69535.59339918024,12971.941042177796,3399.266647855631,12713.45150371772,5495.544493165417,6087.042385108768,-651.8615400725249,383.3366171178945,422.64097763726693,478.50492295212933,538.1517494413239,1421,7967.141041722902,17626.655718847207,9304.184855862093,9304.184855862093,5491.344382054325,5491.344382054325,9304.184855862093,9304.184855862093,5491.344382054325,5491.344382054325,3153.8110294752505,1368,1368,722284,AUBURN-OPELIKA APT,AL,-6,236,III,12,0.16221461187214611,364.7951323209283
"POLYGON ((-85.8193407391342333 32.2953938807139380, -87.3202437413027184 31.5925662373168343, -87.7112797948328051 31.8734715588501487, -87.7821471618529614 31.9313401094724441, -86.8981725325573109 32.8933995486881301, -86.2864735259034603 33.0402282485801280, -86.0594732598140268 32.9730633668184296, -85.8193407391342333 32.2953938807139380))",32.383,-86.35,12/31,722265,AL_Maxwell.AFB,0.1028571428571428,0.051428999999999975,0.09800000000000002,10,16,6,6,0,10,0.0,29491.191534963156,10.0,9.428571428571429,0.5714285714285712,6.0,0.0,29485.191534963156,87600.0,1.4622954842400002,0.0,10.0,1.4622954842400002,5977.392745977219,-0.20985041200097454,0.51429,0.14330495745552002,0.0,0.14330495745552002,1,0.0,29489.72923947892,0.0,0.0,1.4622954842400002,1.4622954842400002,0.0,0.0,1.4622954842400002,1.4622954842400002,2890.1367704263907,1,0,722265,MAXWELL AFB,AL,-6,53,II,12,0.00011415525114155251,-0.06654545454545452
"POLYGON ((-85.8193407391342333 32.2953938807139380, -87.3202437413027184 31.5925662373168343, -87.7112797948328051 31.8734715588501487, -87.7821471618529614 31.9313401094724441, -86.8981725325573109 32.8933995486881301, -86.2864735259034603 33.0402282485801280, -86.0594732598140268 32.9730633668184296, -85.8193407391342333 32.2953938807139380))",32.383,-86.35,12/31,722265,AL_Maxwell.AFB,0.1028571428571428,0.051428999999999975,0.09800000000000002,10,16,6,6,1,10,0.0,33871.19153496317,10.0,9.428571428571429,0.5714285714285712,6.0,0.0,33865.19153496317,87600.0,1.4622954842400002,0.0,10.0,1.4622954842400002,6070.701738659448,-0.20985041200097454,0.51429,0.14330495745552002,0.0,0.14330495745552002,1,0.0,33869.729239478926,0.0,0.0,1.4622954842400002,1.4622954842400002,0.0,0.0,1.4622954842400002,1.4622954842400002,3319.3767704263887,1,0,722265,MAXWELL AFB,AL,-6,53,II,12,0.00011415525114155251,-0.06654545454545452
"POLYGON ((-87.3202437413027184 31.5925662373168343, -86.9691253791660728 31.1626417060747087, -86.9099286961976958 30.9998812533157668, -87.1631176167514070 31.0031572349090965, -87.5985802482699967 31.0026307504563015, -87.5898672232694935 30.9543610416125077, -87.6257115778429068 30.8769019841210941, -87.6159151749656928 30.8482964151940031, -87.5419001536239989 30.7856953260568993, -87.5266028870154997 30.7484916852926879, -87.4601404801909013 30.7058026184009876, -87.4188942594055050 30.6928101653108989, -87.3986449410593877 30.6680153533285846, -87.3932809436002032 30.6200982745811885, -87.4220673604288976 30.5564935857879902, -87.4453529653304003 30.5313897109064953, -87.4188166569544904 30.4817007785982774, -87.4052508367558971 30.4403600672448782, -87.4664403694265076 30.3597214332252854, -87.5875683672154821 30.3192543451929026, -87.5934048175143971 30.2784153559614886, -87.7953306431361824 30.2339316417315729, -88.0025605289436044 30.2336042920064862, -87.7799416833777997 30.2726382730918750, -87.7575029709130945 30.2994222565803746, -87.9034657734027860 30.4212960771250813, -87.9133851590696906 30.6211843980719927, -88.0197888429262036 30.7441900332702041, -88.1356811618616831 30.3371585464778732, -88.2592240722874237 30.3820825160077526, -87.7112797948328051 31.8734715588501487, -87.3202437413027184 31.5925662373168343))",30.633,-88.067,12/31,722235,AL_Mobile-Downtown.AP,0.1028571428571428,0.051428999999999975,0.09800000000000002,10,16,6,6,0,10,0.0,26015.679224433083,10.0,9.428571428571429,0.5714285714285712,6.0,0.0,26009.679224433083,87600.0,1.9951337789199997,0.0,10.0,1.9951337789199997,5797.8316523257,-0.2620685648796145,0.51429,0.19552311033415998,0.0,0.19552311033415998,1,0.0,26013.684090654166,0.0,0.0,1.9951337789199997,1.9951337789199997,0.0,0.0,1.9951337789199997,1.9951337789199997,2549.536563994439,1,0,722235,MOBILE DOWNTOWN AP,AL,-6,8,II,12,0.00011415525114155251,-0.06654545454545452
"POLYGON ((-87.3202437413027184 31.5925662373168343, -86.9691253791660728 31.1626417060747087, -86.9099286961976958 30.9998812533157668, -87.1631176167514070 31.0031572349090965, -87.5985802482699967 31.0026307504563015, -87.5898672232694935 30.9543610416125077, -87.6257115778429068 30.8769019841210941, -87.6159151749656928 30.8482964151940031, -87.5419001536239989 30.7856953260568993, -87.5266028870154997 30.7484916852926879, -87.4601404801909013 30.7058026184009876, -87.4188942594055050 30.6928101653108989, -87.3986449410593877 30.6680153533285846, -87.3932809436002032 30.6200982745811885, -87.4220673604288976 30.5564935857879902, -87.4453529653304003 30.5313897109064953, -87.4188166569544904 30.4817007785982774, -87.4052508367558971 30.4403600672448782, -87.4664403694265076 30.3597214332252854, -87.5875683672154821 30.3192543451929026, -87.5934048175143971 30.2784153559614886, -87.7953306431361824 30.2339316417315729, -88.0025605289436044 30.2336042920064862, -87.7799416833777997 30.2726382730918750, -87.7575029709130945 30.2994222565803746, -87.9034657734027860 30.4212960771250813, -87.9133851590696906 30.6211843980719927, -88.0197888429262036 30.7441900332702041, -88.1356811618616831 30.3371585464778732, -88.2592240722874237 30.3820825160077526, -87.7112797948328051 31.8734715588501487, -87.3202437413027184 31.5925662373168343))",30.633,-88.067,12/31,722235,AL_Mobile-Downtown.AP,0.1028571428571428,0.051428999999999975,0.09800000000000002,10,16,6,6,1,10,0.0,30395.679224433075,10.0,9.428571428571429,0.5714285714285712,6.0,0.0,30389.679224433075,87600.0,1.9951337789199997,0.0,10.0,1.9951337789199997,5861.070725129734,-0.2620685648796145,0.51429,0.19552311033415998,0.0,0.19552311033415998,1,0.0,30393.68409065416,0.0,0.0,1.9951337789199997,1.9951337789199997,0.0,0.0,1.9951337789199997,1.9951337789199997,2978.776563994444,1,0,722235,MOBILE DOWNTOWN AP,AL,-6,8,II,12,0.00011415525114155251,-0.06654545454545452
"POLYGON ((-86.9691253791660728 31.1626417060747087, -85.5016193117225640 31.7013137666664733, -85.6156283804317582 30.9991828009544825, -86.0318217806469931 30.9933276256427206, -86.1814761907908888 30.9952251039991040, -86.3839197459827943 30.9915383141206071, -86.7018524810754059 30.9980924057776903, -86.7793616848769034 30.9981918177294133, -86.9099286961976958 30.9998812533157668, -86.9691253791660728 31.1626417060747087))",31.267,-85.717,12/31,722269,AL_Fort.Rucker-Cairns.Field,0.1028571428571428,0.051428999999999975,0.09800000000000002,10,16,6,6,0,10,0.0,27803.82210906316,10.0,9.428571428571429,0.5714285714285712,6.0,0.0,27797.82210906316,87600.0,2.65868581747,0.0,10.0,2.65868581747,5946.594638385829,-0.3270966646575145,0.51429,0.26055121011206,0.0,0.26055121011206,1,0.0,27801.16342324569,0.0,0.0,2.65868581747,2.65868581747,0.0,0.0,2.65868581747,2.65868581747,2724.77456668819,1,0,722269,CAIRNS FIELD FORT RUCKER,AL,-6,91,II,12,0.00011415525114155251,-0.06654545454545452
"POLYGON ((-86.9691253791660728 31.1626417060747087, -85.5016193117225640 31.7013137666664733, -85.6156283804317582 30.9991828009544825, -86.0318217806469931 30.9933276256427206, -86.1814761907908888 30.9952251039991040, -86.3839197459827943 30.9915383141206071, -86.7018524810754059 30.9980924057776903, -86.7793616848769034 30.9981918177294133, -86.9099286961976958 30.9998812533157668, -86.9691253791660728 31.1626417060747087))",31.267,-85.717,12/31,722269,AL_Fort.Rucker-Cairns.Field,0.1028571428571428,0.051428999999999975,0.09800000000000002,10,16,6,6,1,10,0.0,32183.82210906316,10.0,9.428571428571429,0.5714285714285712,6.0,0.0,32177.82210906316,87600.0,2.65868581747,0.0,10.0,2.65868581747,6015.078399994301,-0.3270966646575145,0.51429,0.26055121011206,0.0,0.26055121011206,1,0.0,32181.16342324569,0.0,0.0,2.65868581747,2.65868581747,0.0,0.0,2.65868581747,2.65868581747,3154.0145666881886,1,0,722269,CAIRNS FIELD FORT RUCKER,AL,-6,91,II,12,0.00011415525114155251,-0.06654545454545452
